 	50000	100000	200000	300000	400000	500000	600000	700000	800000	900000	1000000	1100000	1200000	1300000	2000000	3000000				
0	0.001	0.007	0.01	0.047	0.087	0.096	0.112	0.172	0.164	0.159	0.17	0.137	0.136	0.11	0.069	0.03	 	 	 	 
0.0001	0.011	0.019	0.043	0.071	0.101	0.138	0.124	0.129	0.148	0.133				0.041						
0.001	0.049	0.062	0.087	0.091	0.11	0.096	0.106	0.1	0.081	0.08				0.024						
0.002	0.066	0.063	0.103	0.092	0.075	0.07	0.072	0.058	0.051	0.042				0.011						
0.003	0.098	0.097	0.075	0.085	0.062	0.035	0.058	0.047	0.034	0.027				0.006						
0.004	0.095	0.103	0.068	0.045	0.041	0.03	0.029	0.02	0.024	0.016				0.002						
0.005	0.088	0.111	0.065	0.039	0.032	0.026	0.017	0.016	0.008	0.01				0.002						
0.006	0.101	0.093	0.047	0.037	0.027	0.018	0.02	0.017	0.006	0.015										
0.007	0.122	0.093	0.04	0.023	0.02	0.018	0.013	0.009	0.006	0.007										
0.008	0.105	0.064	0.034	0.023	0.018	0.011	0.012	0.019	0.01	0.009										
0.009	0.094	0.076	0.021	0.022	0.018	0.01	0.012	0.012	0.007	0.006										
0.01	0.097	0.068	0.03	0.011	0.012	0.011	0.004	0.007	0.007	0.005				0.003						
0.1	0.013	0.003	0.004	0.001	0.001	0	0	0	0.002	0.001				0				 		
		 																 		
																		 		
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
			 																	
																				
																				
																				
																				
																				
						 														
						 														
						 														
