scalar	theta	mle
0.021	0.0063	-34384.6
0.021	0.0064	-34467
0.021	0.0065	-34553.6
0.021	0.0066	-34644.3
0.021	0.0067	-34738.8
0.021	0.0068	-34837
0.021	0.0069	-34938.7
0.021	0.007	-35043.7
0.021	0.0071	-35151.9
0.021	0.0072	-35263.2
0.021	0.0073	-35377.4
0.021	0.0074	-35494.3
0.021	0.0075	-35614
0.021	0.0076	-35736.2
0.021	0.0077	-35860.9
0.021	0.0078	-35987.9
0.021	0.0079	-36117.1
0.021	0.008	-36248.5
0.021	0.0081	-36381.9
0.021	0.0082	-36517.3
0.021	0.0083	-36654.6
0.021	0.0084	-36793.7
0.021	0.0085	-36934.5
0.021	0.0086	-37076.9
0.021	0.0087	-37221
0.021	0.0088	-37366.6
0.021	0.0089	-37513.6
0.021	0.009	-37662
0.021	0.0091	-37811.8
0.021	0.0092	-37962.8
0.021	0.0093	-38115
0.021	0.0094	-38268.5
0.021	0.0095	-38423
0.021	0.0096	-38578.7
0.021	0.0097	-38735.3
0.021	0.0098	-38893
0.021	0.0099	-39051.6
0.031	0.001	-57509.9
0.031	0.0011	-54993.5
0.031	0.0012	-52793.6
0.031	0.0013	-50855.7
0.031	0.0014	-49137.8
0.031	0.0015	-47606.7
0.031	0.0016	-46236
0.031	0.0017	-45004.3
0.031	0.0018	-43893.7
0.031	0.0019	-42889.7
0.031	0.002	-41979.8
0.031	0.0021	-41153.8
0.031	0.0022	-40402.6
0.031	0.0023	-39718.7
0.031	0.0024	-39095.3
0.031	0.0025	-38526.7
0.031	0.0026	-38008
0.031	0.0027	-37534.6
0.031	0.0028	-37102.7
0.031	0.0029	-36708.7
0.031	0.003	-36349.6
0.031	0.0031	-36022.6
0.031	0.0032	-35725.3
0.031	0.0033	-35455.4
0.031	0.0034	-35210.9
0.031	0.0035	-34990
0.031	0.0036	-34791
0.031	0.0037	-34612.4
0.031	0.0038	-34452.9
0.031	0.0039	-34311.1
0.031	0.004	-34186
0.031	0.0041	-34076.5
0.031	0.0042	-33981.7
0.031	0.0043	-33900.5
0.031	0.0044	-33832.3
0.031	0.0045	-33776.2
0.031	0.0046	-33731.5
0.031	0.0047	-33697.7
0.031	0.0048	-33674
0.031	0.0049	-33659.9
0.031	0.005	-33654.9
0.031	0.0051	-33658.5
0.031	0.0052	-33670.3
0.031	0.0053	-33689.8
0.031	0.0054	-33716.5
0.031	0.0055	-33750.2
0.031	0.0056	-33790.5
0.031	0.0057	-33837.1
0.031	0.0058	-33889.6
0.031	0.0059	-33947.7
0.031	0.006	-34011.2
0.031	0.0061	-34079.8
0.031	0.0062	-34153.3
0.031	0.0063	-34231.5
0.031	0.0064	-34314.1
0.031	0.0065	-34400.9
0.031	0.0066	-34491.7
0.031	0.0067	-34586.4
0.031	0.0068	-34684.7
0.031	0.0069	-34786.5
0.031	0.007	-34891.7
0.031	0.0071	-35000.1
0.031	0.0072	-35111.5
0.031	0.0073	-35225.8
0.031	0.0074	-35343
0.031	0.0075	-35462.8
0.031	0.0076	-35585.1
0.031	0.0077	-35709.9
0.031	0.0078	-35837.1
0.031	0.0079	-35966.5
0.031	0.008	-36098
0.031	0.0081	-36231.6
0.031	0.0082	-36367.1
0.031	0.0083	-36504.6
0.031	0.0084	-36643.8
0.031	0.0085	-36784.8
0.031	0.0086	-36927.4
0.031	0.0087	-37071.6
0.031	0.0088	-37217.3
0.031	0.0089	-37364.5
0.031	0.009	-37513.1
0.031	0.0091	-37663
0.031	0.0092	-37814.1
0.031	0.0093	-37966.5
0.031	0.0094	-38120.1
0.031	0.0095	-38274.8
0.031	0.0096	-38430.6
0.031	0.0097	-38587.4
0.031	0.0098	-38745.2
0.031	0.0099	-38904
0.041	0.001	-57394.2
0.041	0.0011	-54878
0.041	0.0012	-52678.3
0.041	0.0013	-50740.6
0.041	0.0014	-49022.8
0.041	0.0015	-47491.9
0.041	0.0016	-46121.4
0.041	0.0017	-44889.8
0.041	0.0018	-43779.4
0.041	0.0019	-42775.5
0.041	0.002	-41865.9
0.041	0.0021	-41040
0.041	0.0022	-40289
0.041	0.0023	-39605.2
0.041	0.0024	-38982
0.041	0.0025	-38413.6
0.041	0.0026	-37895
0.041	0.0027	-37421.8
0.041	0.0028	-36990
0.041	0.0029	-36596.2
0.041	0.003	-36237.3
0.041	0.0031	-35910.5
0.041	0.0032	-35613.3
0.041	0.0033	-35343.6
0.041	0.0034	-35099.2
0.041	0.0035	-34878.5
0.041	0.0036	-34679.6
0.041	0.0037	-34501.2
0.041	0.0038	-34341.8
0.041	0.0039	-34200.2
0.041	0.004	-34075.3
0.041	0.0041	-33966
0.041	0.0042	-33871.3
0.041	0.0043	-33790.3
0.041	0.0044	-33722.2
0.041	0.0045	-33666.3
0.041	0.0046	-33621.8
0.041	0.0047	-33588.1
0.041	0.0048	-33564.5
0.041	0.0049	-33550.6
0.041	0.005	-33545.8
0.041	0.0051	-33549.6
0.041	0.0052	-33561.5
0.041	0.0053	-33581.1
0.041	0.0054	-33608
0.041	0.0055	-33641.9
0.041	0.0056	-33682.3
0.041	0.0057	-33729
0.041	0.0058	-33781.6
0.041	0.0059	-33839.9
0.041	0.006	-33903.6
0.041	0.0061	-33972.4
0.041	0.0062	-34046
0.041	0.0063	-34124.3
0.041	0.0064	-34207.1
0.041	0.0065	-34294
0.041	0.0066	-34385
0.041	0.0067	-34479.8
0.041	0.0068	-34578.3
0.041	0.0069	-34680.2
0.041	0.007	-34785.6
0.041	0.0071	-34894.1
0.041	0.0072	-35005.7
0.041	0.0073	-35120.2
0.041	0.0074	-35237.4
0.041	0.0075	-35357.4
0.041	0.0076	-35479.9
0.041	0.0077	-35604.9
0.041	0.0078	-35732.2
0.041	0.0079	-35861.7
0.041	0.008	-35993.4
0.041	0.0081	-36127.1
0.041	0.0082	-36262.8
0.041	0.0083	-36400.4
0.041	0.0084	-36539.7
0.041	0.0085	-36680.8
0.041	0.0086	-36823.6
0.041	0.0087	-36967.9
0.041	0.0088	-37113.8
0.041	0.0089	-37261.1
0.041	0.009	-37409.8
0.041	0.0091	-37559.9
0.041	0.0092	-37711.2
0.041	0.0093	-37863.7
0.041	0.0094	-38017.5
0.041	0.0095	-38172.3
0.041	0.0096	-38328.2
0.041	0.0097	-38485.2
0.041	0.0098	-38643.1
0.041	0.0099	-38802
0.051	0.001	-57304.3
0.051	0.0011	-54788.3
0.051	0.0012	-52588.7
0.051	0.0013	-50651.1
0.051	0.0014	-48933.5
0.051	0.0015	-47402.8
0.051	0.0016	-46032.5
0.051	0.0017	-44801
0.051	0.0018	-43690.8
0.051	0.0019	-42687.1
0.051	0.002	-41777.6
0.051	0.0021	-40951.9
0.051	0.0022	-40201
0.051	0.0023	-39517.4
0.051	0.0024	-38894.4
0.051	0.0025	-38326.2
0.051	0.0026	-37807.7
0.051	0.0027	-37334.7
0.051	0.0028	-36903.1
0.051	0.0029	-36509.4
0.051	0.003	-36150.7
0.051	0.0031	-35824
0.051	0.0032	-35527
0.051	0.0033	-35257.4
0.051	0.0034	-35013.2
0.051	0.0035	-34792.6
0.051	0.0036	-34593.9
0.051	0.0037	-34415.7
0.051	0.0038	-34256.5
0.051	0.0039	-34115
0.051	0.004	-33990.3
0.051	0.0041	-33881.1
0.051	0.0042	-33786.5
0.051	0.0043	-33705.7
0.051	0.0044	-33637.8
0.051	0.0045	-33582
0.051	0.0046	-33537.6
0.051	0.0047	-33504.1
0.051	0.0048	-33480.7
0.051	0.0049	-33466.9
0.051	0.005	-33462.3
0.051	0.0051	-33466.2
0.051	0.0052	-33478.2
0.051	0.0053	-33498
0.051	0.0054	-33525.1
0.051	0.0055	-33559.1
0.051	0.0056	-33599.7
0.051	0.0057	-33646.5
0.051	0.0058	-33699.3
0.051	0.0059	-33757.7
0.051	0.006	-33821.5
0.051	0.0061	-33890.5
0.051	0.0062	-33964.3
0.051	0.0063	-34042.7
0.051	0.0064	-34125.6
0.051	0.0065	-34212.7
0.051	0.0066	-34303.8
0.051	0.0067	-34398.7
0.051	0.0068	-34497.4
0.051	0.0069	-34599.5
0.051	0.007	-34705
0.051	0.0071	-34813.6
0.051	0.0072	-34925.3
0.051	0.0073	-35040
0.051	0.0074	-35157.4
0.051	0.0075	-35277.5
0.051	0.0076	-35400.1
0.051	0.0077	-35525.2
0.051	0.0078	-35652.7
0.051	0.0079	-35782.3
0.051	0.008	-35914.1
0.051	0.0081	-36048
0.051	0.0082	-36183.8
0.051	0.0083	-36321.5
0.051	0.0084	-36461.1
0.051	0.0085	-36602.3
0.051	0.0086	-36745.2
0.051	0.0087	-36889.7
0.051	0.0088	-37035.7
0.051	0.0089	-37183.1
0.051	0.009	-37332
0.051	0.0091	-37482.1
0.051	0.0092	-37633.6
0.051	0.0093	-37786.3
0.051	0.0094	-37940.1
0.051	0.0095	-38095.1
0.051	0.0096	-38251.2
0.051	0.0097	-38408.2
0.051	0.0098	-38566.3
0.051	0.0099	-38725.3
0.061	0.001	-57230.8
0.061	0.0011	-54715
0.061	0.0012	-52515.6
0.061	0.0013	-50578.2
0.061	0.0014	-48860.7
0.061	0.0015	-47330.2
0.061	0.0016	-45960
0.061	0.0017	-44728.7
0.061	0.0018	-43618.7
0.061	0.0019	-42615.1
0.061	0.002	-41705.8
0.061	0.0021	-40880.3
0.061	0.0022	-40129.6
0.061	0.0023	-39446.1
0.061	0.0024	-38823.2
0.061	0.0025	-38255.2
0.061	0.0026	-37736.9
0.061	0.0027	-37264
0.061	0.0028	-36832.5
0.061	0.0029	-36439
0.061	0.003	-36080.4
0.061	0.0031	-35754
0.061	0.0032	-35457.1
0.061	0.0033	-35187.7
0.061	0.0034	-34943.7
0.061	0.0035	-34723.2
0.061	0.0036	-34524.7
0.061	0.0037	-34346.5
0.061	0.0038	-34187.5
0.061	0.0039	-34046.2
0.061	0.004	-33921.6
0.061	0.0041	-33812.5
0.061	0.0042	-33718.1
0.061	0.0043	-33637.5
0.061	0.0044	-33569.7
0.061	0.0045	-33514
0.061	0.0046	-33469.9
0.061	0.0047	-33436.4
0.061	0.0048	-33413.2
0.061	0.0049	-33399.6
0.061	0.005	-33395.1
0.061	0.0051	-33399.1
0.061	0.0052	-33411.3
0.061	0.0053	-33431.2
