scalar	theta	mle
0.281	0.0023	-38882.9
0.281	0.0024	-38263
0.281	0.0025	-37697.9
0.281	0.0026	-37182.5
0.281	0.0027	-36712.5
0.281	0.0028	-36284
0.281	0.0029	-35893.3
0.281	0.003	-35537.6
0.281	0.0031	-35213.9
0.281	0.0032	-34919.8
0.281	0.0033	-34653.1
0.281	0.0034	-34411.8
0.281	0.0035	-34194.1
0.281	0.0036	-33998.2
0.281	0.0037	-33822.8
0.281	0.0038	-33666.4
0.281	0.0039	-33527.7
0.281	0.004	-33405.7
0.281	0.0041	-33299.2
0.281	0.0042	-33207.4
0.281	0.0043	-33129.2
0.281	0.0044	-33063.9
0.281	0.0045	-33010.8
0.281	0.0046	-32969.1
0.281	0.0047	-32938.1
0.281	0.0048	-32917.4
0.281	0.0049	-32906.2
0.281	0.005	-32904
0.281	0.0051	-32910.5
0.281	0.0052	-32925
0.281	0.0053	-32947.3
0.281	0.0054	-32976.9
0.281	0.0055	-33013.3
0.281	0.0056	-33056.4
0.281	0.0057	-33105.6
0.281	0.0058	-33160.8
0.281	0.0059	-33221.7
0.281	0.006	-33287.9
0.281	0.0061	-33359.2
0.281	0.0062	-33435.3
0.281	0.0063	-33516.1
0.281	0.0064	-33601.3
0.281	0.0065	-33690.7
0.281	0.0066	-33784.1
0.281	0.0067	-33881.3
0.281	0.0068	-33982.2
0.281	0.0069	-34086.5
0.281	0.007	-34194.2
0.281	0.0071	-34305.1
0.281	0.0072	-34419
0.281	0.0073	-34535.9
0.281	0.0074	-34655.5
0.281	0.0075	-34777.7
0.281	0.0076	-34902.5
0.281	0.0077	-35029.8
0.281	0.0078	-35159.3
0.281	0.0079	-35291.1
0.281	0.008	-35425
0.281	0.0081	-35561
0.281	0.0082	-35698.9
0.281	0.0083	-35838.7
0.281	0.0084	-35980.3
0.281	0.0085	-36123.6
0.281	0.0086	-36268.5
0.281	0.0087	-36415
0.281	0.0088	-36563
0.281	0.0089	-36712.5
0.281	0.009	-36863.3
0.281	0.0091	-37015.5
0.281	0.0092	-37168.9
0.281	0.0093	-37323.5
0.281	0.0094	-37479.3
0.281	0.0095	-37636.2
0.281	0.0096	-37794.2
0.281	0.0097	-37953.2
0.281	0.0098	-38113.2
0.281	0.0099	-38274.1
0.291	0.001	-56612.7
0.291	0.0011	-54100.5
0.291	0.0012	-51904.6
0.291	0.0013	-49970.7
0.291	0.0014	-48256.7
0.291	0.0015	-46729.5
0.291	0.0016	-45362.7
0.291	0.0017	-44134.8
0.291	0.0018	-43028
0.291	0.0019	-42027.8
0.291	0.002	-41121.7
0.291	0.0021	-40299.3
0.291	0.0022	-39551.8
0.291	0.0023	-38871.5
0.291	0.0024	-38251.7
0.291	0.0025	-37686.7
0.291	0.0026	-37171.5
0.291	0.0027	-36701.6
0.291	0.0028	-36273.1
0.291	0.0029	-35882.6
0.291	0.003	-35526.9
0.291	0.0031	-35203.4
0.291	0.0032	-34909.4
0.291	0.0033	-34642.8
0.291	0.0034	-34401.6
0.291	0.0035	-34184
0.291	0.0036	-33988.2
0.291	0.0037	-33812.9
0.291	0.0038	-33656.5
0.291	0.0039	-33518
0.291	0.004	-33396
0.291	0.0041	-33289.7
0.291	0.0042	-33197.9
0.291	0.0043	-33119.9
0.291	0.0044	-33054.7
0.291	0.0045	-33001.6
0.291	0.0046	-32960
0.291	0.0047	-32929.2
0.291	0.0048	-32908.4
0.291	0.0049	-32897.3
0.291	0.005	-32895.3
0.291	0.0051	-32901.8
0.291	0.0052	-32916.5
0.291	0.0053	-32938.8
0.291	0.0054	-32968.4
0.291	0.0055	-33005
0.291	0.0056	-33048.1
0.291	0.0057	-33097.5
0.291	0.0058	-33152.7
0.291	0.0059	-33213.7
0.291	0.006	-33279.9
0.291	0.0061	-33351.3
0.291	0.0062	-33427.5
0.291	0.0063	-33508.4
0.291	0.0064	-33593.6
0.291	0.0065	-33683.1
0.291	0.0066	-33776.6
0.291	0.0067	-33873.9
0.291	0.0068	-33974.8
0.291	0.0069	-34079.3
0.291	0.007	-34187
0.291	0.0071	-34298
0.291	0.0072	-34412
0.291	0.0073	-34528.9
0.291	0.0074	-34648.6
0.291	0.0075	-34770.9
0.291	0.0076	-34895.8
0.291	0.0077	-35023.1
0.291	0.0078	-35152.7
0.291	0.0079	-35284.5
0.291	0.008	-35418.5
0.291	0.0081	-35554.5
0.291	0.0082	-35692.5
0.291	0.0083	-35832.4
0.291	0.0084	-35974
0.291	0.0085	-36117.3
0.291	0.0086	-36262.3
0.291	0.0087	-36408.9
0.291	0.0088	-36557
0.291	0.0089	-36706.5
0.291	0.009	-36857.4
0.291	0.0091	-37009.6
0.291	0.0092	-37163.1
0.291	0.0093	-37317.8
0.291	0.0094	-37473.6
0.291	0.0095	-37630.6
0.291	0.0096	-37788.7
0.291	0.0097	-37947.7
0.291	0.0098	-38107.8
0.291	0.0099	-38268.7
0.301	0.001	-56600.1
0.301	0.0011	-54088
0.301	0.0012	-51892.3
0.301	0.0013	-49958.5
0.301	0.0014	-48244.7
0.301	0.0015	-46717.6
0.301	0.0016	-45351
0.301	0.0017	-44123.1
0.301	0.0018	-43016.5
0.301	0.0019	-42016.4
0.301	0.002	-41110.4
0.301	0.0021	-40288.2
0.301	0.0022	-39540.8
0.301	0.0023	-38860.5
0.301	0.0024	-38240.9
0.301	0.0025	-37676
0.301	0.0026	-37160.9
0.301	0.0027	-36691.1
0.301	0.0028	-36262.8
0.301	0.0029	-35872.3
0.301	0.003	-35516.8
0.301	0.0031	-35193.3
0.301	0.0032	-34899.5
0.301	0.0033	-34633
0.301	0.0034	-34391.9
0.301	0.0035	-34174.3
0.301	0.0036	-33978.7
0.301	0.0037	-33803.4
0.301	0.0038	-33647.2
0.301	0.0039	-33508.7
0.301	0.004	-33386.9
0.301	0.0041	-33280.6
0.301	0.0042	-33188.9
0.301	0.0043	-33111
0.301	0.0044	-33045.9
0.301	0.0045	-32992.9
0.301	0.0046	-32951.4
0.301	0.0047	-32920.6
0.301	0.0048	-32900
0.301	0.0049	-32889
0.301	0.005	-32887
0.301	0.0051	-32893.6
0.301	0.0052	-32908.3
0.301	0.0053	-32930.8
0.301	0.0054	-32960.5
0.301	0.0055	-32997.1
0.301	0.0056	-33040.3
0.301	0.0057	-33089.7
0.301	0.0058	-33145.1
0.301	0.0059	-33206.1
0.301	0.006	-33272.4
0.301	0.0061	-33343.9
0.301	0.0062	-33420.2
0.301	0.0063	-33501.1
0.301	0.0064	-33586.4
0.301	0.0065	-33676
0.301	0.0066	-33769.5
0.301	0.0067	-33866.9
0.301	0.0068	-33967.9
0.301	0.0069	-34072.4
0.301	0.007	-34180.3
0.301	0.0071	-34291.3
0.301	0.0072	-34405.3
0.301	0.0073	-34522.3
0.301	0.0074	-34642
0.301	0.0075	-34764.4
0.301	0.0076	-34889.4
0.301	0.0077	-35016.7
0.301	0.0078	-35146.4
0.301	0.0079	-35278.3
0.301	0.008	-35412.4
0.301	0.0081	-35548.5
0.301	0.0082	-35686.5
0.301	0.0083	-35826.4
0.301	0.0084	-35968.1
0.301	0.0085	-36111.5
0.301	0.0086	-36256.6
0.301	0.0087	-36403.2
0.301	0.0088	-36551.3
0.301	0.0089	-36700.9
0.301	0.009	-36851.8
0.301	0.0091	-37004.1
0.301	0.0092	-37157.7
0.301	0.0093	-37312.4
0.301	0.0094	-37468.3
0.301	0.0095	-37625.4
0.301	0.0096	-37783.5
0.301	0.0097	-37942.6
0.301	0.0098	-38102.7
0.301	0.0099	-38263.7
0.311	0.001	-56588
0.311	0.0011	-54076
0.311	0.0012	-51880.4
0.311	0.0013	-49946.8
0.311	0.0014	-48233.1
0.311	0.0015	-46706.2
0.311	0.0016	-45339.6
0.311	0.0017	-44111.9
0.311	0.0018	-43005.4
0.311	0.0019	-42005.4
0.311	0.002	-41099.6
0.311	0.0021	-40277.4
0.311	0.0022	-39530.2
0.311	0.0023	-38850
0.311	0.0024	-38230.5
0.311	0.0025	-37665.7
0.311	0.0026	-37150.8
0.311	0.0027	-36681.1
0.311	0.0028	-36252.8
0.311	0.0029	-35862.5
0.311	0.003	-35507.1
0.311	0.0031	-35183.7
0.311	0.0032	-34889.9
0.311	0.0033	-34623.6
0.311	0.0034	-34382.6
0.311	0.0035	-34165.1
0.311	0.0036	-33969.6
0.311	0.0037	-33794.4
0.311	0.0038	-33638.2
0.311	0.0039	-33499.9
0.311	0.004	-33378.1
0.311	0.0041	-33271.9
0.311	0.0042	-33180.4
0.311	0.0043	-33102.5
0.311	0.0044	-33037.5
0.311	0.0045	-32984.6
0.311	0.0046	-32943.2
0.311	0.0047	-32912.5
0.311	0.0048	-32891.9
0.311	0.0049	-32881
0.311	0.005	-32879.1
0.311	0.0051	-32885.8
0.311	0.0052	-32900.6
0.311	0.0053	-32923.1
0.311	0.0054	-32952.9
0.311	0.0055	-32989.6
0.311	0.0056	-33032.9
0.311	0.0057	-33082.4
0.311	0.0058	-33137.8
0.311	0.0059	-33198.9
0.311	0.006	-33265.3
0.311	0.0061	-33336.8
0.311	0.0062	-33413.2
0.311	0.0063	-33494.2
0.311	0.0064	-33579.6
0.311	0.0065	-33669.2
0.311	0.0066	-33762.8
0.311	0.0067	-33860.3
0.311	0.0068	-33961.4
0.311	0.0069	-34065.9
0.311	0.007	-34173.8
0.311	0.0071	-34284.9
0.311	0.0072	-34399
0.311	0.0073	-34516.1
0.311	0.0074	-34635.9
0.311	0.0075	-34758.3
0.311	0.0076	-34883.3
0.311	0.0077	-35010.8
0.311	0.0078	-35140.5
0.311	0.0079	-35272.5
0.311	0.008	-35406.6
0.311	0.0081	-35542.7
0.311	0.0082	-35680.8
0.311	0.0083	-35820.8
0.311	0.0084	-35962.6
0.311	0.0085	-36106
0.311	0.0086	-36251.2
0.311	0.0087	-36397.8
0.311	0.0088	-36546
0.311	0.0089	-36695.7
0.311	0.009	-36846.7
0.311	0.0091	-36999
0.311	0.0092	-37152.6
0.311	0.0093	-37307.4
0.311	0.0094	-37463.4
0.311	0.0095	-37620.5
0.311	0.0096	-37778.6
0.311	0.0097	-37937.8
0.311	0.0098	-38097.9
0.311	0.0099	-38259
0.321	0.001	-56576.3
0.321	0.0011	-54064.4
0.321	0.0012	-51869
0.321	0.0013	-49935.5
0.321	0.0014	-48221.9
0.321	0.0015	-46695.1
0.321	0.0016	-45328.7
0.321	0.0017	-44101.2
0.321	0.0018	-42994.8
0.321	0.0019	-41994.9
0.321	0.002	-41089.1
0.321	0.0021	-40267.1
0.321	0.0022	-39520
0.321	0.0023	-38840
0.321	0.0024	-38220.5
0.321	0.0025	-37655.9
0.321	0.0026	-37141
0.321	0.0027	-36671.5
0.321	0.0028	-36243.3
0.321	0.0029	-35853.1
0.321	0.003	-35497.7
0.321	0.0031	-35174.5
0.321	0.0032	-34880.8
0.321	0.0033	-34614.5
0.321	0.0034	-34373.6
0.321	0.0035	-34156.3
0.321	0.0036	-33960.8
0.321	0.0037	-33785.8
0.321	0.0038	-33629.7
0.321	0.0039	-33491.4
0.321	0.004	-33369.8
0.321	0.0041	-33263.7
0.321	0.0042	-33172.2
0.321	0.0043	-33094.4
0.321	0.0044	-33029.5
0.321	0.0045	-32976.7
0.321	0.0046	-32935.3
0.321	0.0047	-32904.7
0.321	0.0048	-32884.3
0.321	0.0049	-32873.4
0.321	0.005	-32871.6
0.321	0.0051	-32878.4
0.321	0.0052	-32893.3
0.321	0.0053	-32915.8
0.321	0.0054	-32945.7
0.321	0.0055	-32982.5
0.321	0.0056	-33025.8
0.321	0.0057	-33075.4
0.321	0.0058	-33130.9
0.321	0.0059	-33192
0.321	0.006	-33258.5
0.321	0.0061	-33330.1
0.321	0.0062	-33406.6
0.321	0.0063	-33487.6
0.321	0.0064	-33573.1
0.321	0.0065	-33662.8
0.321	0.0066	-33756.5
0.321	0.0067	-33854
0.321	0.0068	-33955.2
0.321	0.0069	-34059.8
0.321	0.007	-34167.8
0.321	0.0071	-34278.9
0.321	0.0072	-34393.1
0.321	0.0073	-34510.2
0.321	0.0074	-34630.1
0.321	0.0075	-34752.6
0.321	0.0076	-34877.6
0.321	0.0077	-35005.1
0.321	0.0078	-35135
0.321	0.0079	-35267
0.321	0.008	-35401.2
0.321	0.0081	-35537.4
0.321	0.0082	-35675.5
0.321	0.0083	-35815.6
0.321	0.0084	-35957.4
0.321	0.0085	-36100.9
0.321	0.0086	-36246.1
0.321	0.0087	-36392.8
0.321	0.0088	-36541.1
0.321	0.0089	-36690.7
0.321	0.009	-36841.8
0.321	0.0091	-36994.2
0.321	0.0092	-37147.8
0.321	0.0093	-37302.7
0.321	0.0094	-37458.7
0.321	0.0095	-37615.9
0.321	0.0096	-37774.1
0.321	0.0097	-37933.3
0.321	0.0098	-38093.5
0.321	0.0099	-38254.6
0.331	0.001	-56565
0.331	0.0011	-54053.3
0.331	0.0012	-51858
0.331	0.0013	-49924.6
0.331	0.0014	-48211.1
0.331	0.0015	-46684.5
0.331	0.0016	-45318.2
0.331	0.0017	-44090.8
0.331	0.0018	-42984.5
0.331	0.0019	-41984.7
0.331	0.002	-41079.1
0.331	0.0021	-40257.2
0.331	0.0022	-39510.2
0.331	0.0023	-38830.3
0.331	0.0024	-38211
0.331	0.0025	-37646.4
0.331	0.0026	-37131.7
0.331	0.0027	-36662.2
0.331	0.0028	-36234.2
0.331	0.0029	-35844.1
0.331	0.003	-35488.8
0.331	0.0031	-35165.6
0.331	0.0032	-34872.1
0.331	0.0033	-34605.9
0.331	0.0034	-34365.1
0.331	0.0035	-34147.8
0.331	0.0036	-33952.5
0.331	0.0037	-33777.5
0.331	0.0038	-33621.5
0.331	0.0039	-33483.3
0.331	0.004	-33361.8
0.331	0.0041	-33255.8
0.331	0.0042	-33164.4
0.331	0.0043	-33086.7
0.331	0.0044	-33021.8
0.331	0.0045	-32969.1
0.331	0.0046	-32927.8
0.331	0.0047	-32897.3
0.331	0.0048	-32876.9
0.331	0.0049	-32866.1
0.331	0.005	-32864.4
0.331	0.0051	-32871.3
0.331	0.0052	-32886.2
0.331	0.0053	-32908.9
0.331	0.0054	-32938.8
0.331	0.0055	-32975.7
0.331	0.0056	-33019.1
0.331	0.0057	-33068.8
0.331	0.0058	-33124.4
0.331	0.0059	-33185.6
0.331	0.006	-33252.1
0.331	0.0061	-33323.8
0.331	0.0062	-33400.3
0.331	0.0063	-33481.4
0.331	0.0064	-33567
0.331	0.0065	-33656.7
0.331	0.0066	-33750.5
0.331	0.0067	-33848.1
0.331	0.0068	-33949.3
0.331	0.0069	-34054
0.331	0.007	-34162
0.331	0.0071	-34273.2
0.331	0.0072	-34387.5
0.331	0.0073	-34504.6
0.331	0.0074	-34624.6
0.331	0.0075	-34747.2
0.331	0.0076	-34872.3
0.331	0.0077	-34999.8
0.331	0.0078	-35129.7
0.331	0.0079	-35261.8
0.331	0.008	-35396
0.331	0.0081	-35532.3
0.331	0.0082	-35670.5
0.331	0.0083	-35810.6
0.331	0.0084	-35952.5
0.331	0.0085	-36096.1
0.331	0.0086	-36241.3
0.331	0.0087	-36388.1
0.331	0.0088	-36536.4
0.331	0.0089	-36686.1
0.331	0.009	-36837.2
0.331	0.0091	-36989.7
0.331	0.0092	-37143.4
0.331	0.0093	-37298.3
0.331	0.0094	-37454.4
0.331	0.0095	-37611.6
0.331	0.0096	-37769.9
0.331	0.0097	-37929.1
0.331	0.0098	-38089.4
0.331	0.0099	-38250.6
0.341	0.001	-56554
0.341	0.0011	-54042.5
0.341	0.0012	-51847.3
0.341	0.0013	-49914.1
0.341	0.0014	-48200.7
0.341	0.0015	-46674.2
0.341	0.0016	-45308.1
0.341	0.0017	-44080.8
0.341	0.0018	-42974.6
0.341	0.0019	-41975
0.341	0.002	-41069.5
0.341	0.0021	-40247.7
0.341	0.0022	-39500.8
0.341	0.0023	-38821
0.341	0.0024	-38201.8
0.341	0.0025	-37637.3
0.341	0.0026	-37122.7
0.341	0.0027	-36653.3
0.341	0.0028	-36225.4
0.341	0.0029	-35835.4
0.341	0.003	-35480.2
0.341	0.0031	-35157.2
0.341	0.0032	-34863.7
0.341	0.0033	-34597.6
0.341	0.0034	-34356.9
0.341	0.0035	-34139.7
0.341	0.0036	-33944.5
0.341	0.0037	-33769.6
0.341	0.0038	-33613.7
0.341	0.0039	-33475.6
0.341	0.004	-33354.1
0.341	0.0041	-33248.2
0.341	0.0042	-33156.9
0.341	0.0043	-33079.3
0.341	0.0044	-33014.5
0.341	0.0045	-32961.9
0.341	0.0046	-32920.7
0.341	0.0047	-32890.2
0.341	0.0048	-32869.9
0.341	0.0049	-32859.2
0.341	0.005	-32857.6
0.341	0.0051	-32864.5
0.341	0.0052	-32879.6
0.341	0.0053	-32902.3
0.341	0.0054	-32932.3
0.341	0.0055	-32969.2
0.341	0.0056	-33012.7
0.341	0.0057	-33062.5
0.341	0.0058	-33118.1
0.341	0.0059	-33179.4
0.341	0.006	-33246
0.341	0.0061	-33317.8
0.341	0.0062	-33394.3
0.341	0.0063	-33475.5
0.341	0.0064	-33561.2
0.341	0.0065	-33651
0.341	0.0066	-33744.8
0.341	0.0067	-33842.4
0.341	0.0068	-33943.7
0.341	0.0069	-34048.5
0.341	0.007	-34156.6
0.341	0.0071	-34267.9
0.341	0.0072	-34382.2
0.341	0.0073	-34499.4
0.341	0.0074	-34619.4
0.341	0.0075	-34742
0.341	0.0076	-34867.2
0.341	0.0077	-34994.8
0.341	0.0078	-35124.8
0.341	0.0079	-35256.9
0.341	0.008	-35391.2
0.341	0.0081	-35527.5
0.341	0.0082	-35665.8
0.341	0.0083	-35805.9
0.341	0.0084	-35947.9
0.341	0.0085	-36091.5
0.341	0.0086	-36236.8
0.341	0.0087	-36383.6
0.341	0.0088	-36532
0.341	0.0089	-36681.8
0.341	0.009	-36833
0.341	0.0091	-36985.5
0.341	0.0092	-37139.2
0.341	0.0093	-37294.2
0.341	0.0094	-37450.3
0.341	0.0095	-37607.6
0.341	0.0096	-37765.9
0.341	0.0097	-37925.2
0.341	0.0098	-38085.5
0.341	0.0099	-38246.7
0.351	0.001	-56543.5
0.351	0.0011	-54032
0.351	0.0012	-51837
0.351	0.0013	-49903.9
0.351	0.0014	-48190.7
0.351	0.0015	-46664.3
0.351	0.0016	-45298.3
0.351	0.0017	-44071.1
0.351	0.0018	-42965.1
0.351	0.0019	-41965.5
0.351	0.002	-41060.2
0.351	0.0021	-40238.5
0.351	0.0022	-39491.7
0.351	0.0023	-38812
0.351	0.0024	-38192.9
0.351	0.0025	-37628.6
0.351	0.0026	-37114
0.351	0.0027	-36644.8
0.351	0.0028	-36216.9
0.351	0.0029	-35827
0.351	0.003	-35472
0.351	0.0031	-35149
0.351	0.0032	-34855.6
0.351	0.0033	-34589.7
0.351	0.0034	-34349
0.351	0.0035	-34132
0.351	0.0036	-33936.8
0.351	0.0037	-33762
0.351	0.0038	-33606.2
0.351	0.0039	-33468.2
0.351	0.004	-33346.8
0.351	0.0041	-33241
0.351	0.0042	-33149.7
0.351	0.0043	-33072.2
0.351	0.0044	-33007.5
0.351	0.0045	-32955
0.351	0.0046	-32913.9
0.351	0.0047	-32883.5
0.351	0.0048	-32863.3
0.351	0.0049	-32852.6
0.351	0.005	-32851.1
0.351	0.0051	-32858.1
0.351	0.0052	-32873.2
0.351	0.0053	-32896
0.351	0.0054	-32926.1
0.351	0.0055	-32963.1
0.351	0.0056	-33006.7
0.351	0.0057	-33056.5
0.351	0.0058	-33112.2
0.351	0.0059	-33173.5
0.351	0.006	-33240.2
0.351	0.0061	-33312
0.351	0.0062	-33388.7
0.351	0.0063	-33469.9
0.351	0.0064	-33555.6
0.351	0.0065	-33645.5
0.351	0.0066	-33739.4
0.351	0.0067	-33837.1
0.351	0.0068	-33938.4
0.351	0.0069	-34043.3
0.351	0.007	-34151.4
0.351	0.0071	-34262.8
0.351	0.0072	-34377.1
0.351	0.0073	-34494.4
0.351	0.0074	-34614.5
0.351	0.0075	-34737.2
0.351	0.0076	-34862.4
0.351	0.0077	-34990.1
0.351	0.0078	-35120.1
0.351	0.0079	-35252.3
0.351	0.008	-35386.6
0.351	0.0081	-35523
0.351	0.0082	-35661.4
0.351	0.0083	-35801.5
0.351	0.0084	-35943.5
0.351	0.0085	-36087.2
0.351	0.0086	-36232.6
0.351	0.0087	-36379.5
0.351	0.0088	-36527.9
0.351	0.0089	-36677.7
0.351	0.009	-36829
0.351	0.0091	-36981.5
0.351	0.0092	-37135.3
0.351	0.0093	-37290.3
0.351	0.0094	-37446.5
0.351	0.0095	-37603.8
0.351	0.0096	-37762.2
0.351	0.0097	-37921.6
0.351	0.0098	-38081.9
0.351	0.0099	-38243.2
0.361	0.001	-56533.2
0.361	0.0011	-54021.9
0.361	0.0012	-51827
0.361	0.0013	-49894.1
0.361	0.0014	-48181
0.361	0.0015	-46654.7
0.361	0.0016	-45288.8
0.361	0.0017	-44061.8
0.361	0.0018	-42955.9
0.361	0.0019	-41956.4
0.361	0.002	-41051.2
0.361	0.0021	-40229.6
0.361	0.0022	-39482.9
0.361	0.0023	-38803.4
0.361	0.0024	-38184.4
0.361	0.0025	-37620.2
0.361	0.0026	-37105.7
0.361	0.0027	-36636.5
0.361	0.0028	-36208.8
0.361	0.0029	-35819
0.361	0.003	-35464.1
0.361	0.0031	-35141.2
0.361	0.0032	-34847.9
0.361	0.0033	-34582
0.361	0.0034	-34341.5
0.361	0.0035	-34124.5
0.361	0.0036	-33929.4
0.361	0.0037	-33754.7
0.361	0.0038	-33599
0.361	0.0039	-33461.1
0.361	0.004	-33339.8
0.361	0.0041	-33234
0.361	0.0042	-33142.9
0.361	0.0043	-33065.4
0.361	0.0044	-33000.8
0.361	0.0045	-32948.4
0.361	0.0046	-32907.3
0.361	0.0047	-32877
0.361	0.0048	-32856.9
0.361	0.0049	-32846.3
0.361	0.005	-32844.8
0.361	0.0051	-32851.9
0.361	0.0052	-32867.1
0.361	0.0053	-32890
0.361	0.0054	-32920.1
0.361	0.0055	-32957.2
0.361	0.0056	-33000.9
0.361	0.0057	-33050.7
0.361	0.0058	-33106.5
0.361	0.0059	-33167.9
0.361	0.006	-33234.7
0.361	0.0061	-33306.6
0.361	0.0062	-33383.3
0.361	0.0063	-33464.6
0.361	0.0064	-33550.3
0.361	0.0065	-33640.3
0.361	0.0066	-33734.2
0.361	0.0067	-33832
0.361	0.0068	-33933.4
0.361	0.0069	-34038.3
0.361	0.007	-34146.5
0.361	0.0071	-34257.9
0.361	0.0072	-34372.4
0.361	0.0073	-34489.7
0.361	0.0074	-34609.8
0.361	0.0075	-34732.6
0.361	0.0076	-34857.9
0.361	0.0077	-34985.6
0.361	0.0078	-35115.7
0.361	0.0079	-35247.9
0.361	0.008	-35382.3
0.361	0.0081	-35518.8
0.361	0.0082	-35657.2
0.361	0.0083	-35797.4
0.361	0.0084	-35939.4
0.361	0.0085	-36083.2
0.361	0.0086	-36228.6
0.361	0.0087	-36375.5
0.361	0.0088	-36524
0.361	0.0089	-36673.9
0.361	0.009	-36825.2
0.361	0.0091	-36977.8
0.361	0.0092	-37131.6
0.361	0.0093	-37286.7
0.361	0.0094	-37443
0.361	0.0095	-37600.3
0.361	0.0096	-37758.7
0.361	0.0097	-37918.1
0.361	0.0098	-38078.5
0.361	0.0099	-38239.9
0.371	0.001	-56523.3
0.371	0.0011	-54012.1
0.371	0.0012	-51817.4
0.371	0.0013	-49884.5
0.371	0.0014	-48171.6
0.371	0.0015	-46645.5
0.371	0.0016	-45279.7
0.371	0.0017	-44052.7
0.371	0.0018	-42946.9
0.371	0.0019	-41947.6
0.371	0.002	-41042.5
0.371	0.0021	-40221.1
0.371	0.0022	-39474.5
0.371	0.0023	-38795
0.371	0.0024	-38176.1
0.371	0.0025	-37612
0.371	0.0026	-37097.7
0.371	0.0027	-36628.6
0.371	0.0028	-36201
0.371	0.0029	-35811.3
0.371	0.003	-35456.4
0.371	0.0031	-35133.6
0.371	0.0032	-34840.5
0.371	0.0033	-34574.7
0.371	0.0034	-34334.2
0.371	0.0035	-34117.3
0.371	0.0036	-33922.3
0.371	0.0037	-33747.7
0.371	0.0038	-33592.1
0.371	0.0039	-33454.2
0.371	0.004	-33333
0.371	0.0041	-33227.3
0.371	0.0042	-33136.3
0.371	0.0043	-33058.9
0.371	0.0044	-32994.4
0.371	0.0045	-32942
0.371	0.0046	-32901
0.371	0.0047	-32870.8
0.371	0.0048	-32850.8
0.371	0.0049	-32840.3
0.371	0.005	-32838.9
0.371	0.0051	-32846
0.371	0.0052	-32861.3
0.371	0.0053	-32884.2
0.371	0.0054	-32914.5
0.371	0.0055	-32951.6
0.371	0.0056	-32995.3
0.371	0.0057	-33045.3
0.371	0.0058	-33101.1
0.371	0.0059	-33162.6
0.371	0.006	-33229.4
0.371	0.0061	-33301.4
0.371	0.0062	-33378.1
0.371	0.0063	-33459.5
0.371	0.0064	-33545.3
0.371	0.0065	-33635.3
0.371	0.0066	-33729.4
0.371	0.0067	-33827.2
0.371	0.0068	-33928.7
0.371	0.0069	-34033.6
0.371	0.007	-34141.9
0.371	0.0071	-34253.4
0.371	0.0072	-34367.9
0.371	0.0073	-34485.2
0.371	0.0074	-34605.4
0.371	0.0075	-34728.2
0.371	0.0076	-34853.6
0.371	0.0077	-34981.4
0.371	0.0078	-35111.5
0.371	0.0079	-35243.8
0.371	0.008	-35378.3
0.371	0.0081	-35514.8
0.371	0.0082	-35653.2
0.371	0.0083	-35793.5
0.371	0.0084	-35935.6
0.371	0.0085	-36079.4
0.371	0.0086	-36224.8
0.371	0.0087	-36371.8
0.371	0.0088	-36520.4
0.371	0.0089	-36670.3
0.371	0.009	-36821.6
0.371	0.0091	-36974.3
0.371	0.0092	-37128.2
0.371	0.0093	-37283.3
0.371	0.0094	-37439.6
0.371	0.0095	-37597
0.371	0.0096	-37755.5
0.371	0.0097	-37914.9
0.371	0.0098	-38075.4
0.371	0.0099	-38236.8
0.381	0.001	-56513.7
0.381	0.0011	-54002.7
0.381	0.0012	-51808
0.381	0.0013	-49875.3
0.381	0.0014	-48162.5
0.381	0.0015	-46636.5
0.381	0.0016	-45270.8
0.381	0.0017	-44044
0.381	0.0018	-42938.3
0.381	0.0019	-41939.1
0.381	0.002	-41034.1
0.381	0.0021	-40212.8
0.381	0.0022	-39466.3
0.381	0.0023	-38787
0.381	0.0024	-38168.2
0.381	0.0025	-37604.2
0.381	0.0026	-37089.9
0.381	0.0027	-36621
0.381	0.0028	-36193.4
0.381	0.0029	-35803.8
0.381	0.003	-35449.1
0.381	0.0031	-35126.4
0.381	0.0032	-34833.3
0.381	0.0033	-34567.6
0.381	0.0034	-34327.2
0.381	0.0035	-34110.4
0.381	0.0036	-33915.5
0.381	0.0037	-33741
0.381	0.0038	-33585.4
0.381	0.0039	-33447.7
0.381	0.004	-33326.5
0.381	0.0041	-33221
0.381	0.0042	-33130
0.381	0.0043	-33052.7
0.381	0.0044	-32988.2
0.381	0.0045	-32935.9
0.381	0.0046	-32895
0.381	0.0047	-32864.9
0.381	0.0048	-32844.9
0.381	0.0049	-32834.5
0.381	0.005	-32833.2
0.381	0.0051	-32840.4
0.381	0.0052	-32855.7
0.381	0.0053	-32878.7
0.381	0.0054	-32909
0.381	0.0055	-32946.3
0.381	0.0056	-32990
0.381	0.0057	-33040
0.381	0.0058	-33096
0.381	0.0059	-33157.5
0.381	0.006	-33224.4
0.381	0.0061	-33296.4
0.381	0.0062	-33373.2
0.381	0.0063	-33454.7
0.381	0.0064	-33540.6
0.381	0.0065	-33630.6
0.381	0.0066	-33724.7
0.381	0.0067	-33822.6
0.381	0.0068	-33924.1
0.381	0.0069	-34029.2
0.381	0.007	-34137.5
0.381	0.0071	-34249
0.381	0.0072	-34363.6
0.381	0.0073	-34481
0.381	0.0074	-34601.2
0.381	0.0075	-34724.1
