0.85575	-5.2
0.86325	-4.8
0.87075	-4.5
0.87825	-4.2
0.88575	-3.9
0.89325	-3.6
0.90075	-3.3
0.90825	-3.1
0.91575	-2.8
0.92325	-2.6
0.93075	-2.4
0.93825	-2.2
0.94575	-2
0.95325	-1.8
0.96075	-1.6
0.96825	-1.4
0.97575	-1.3
0.98325	-1.1
0.99075	-1
0.99825	-0.9
1.00575	-0.8
1.01325	-0.6
1.02075	-0.5
1.02825	-0.4
1.03575	-0.4
1.04325	-0.3
1.05075	-0.2
1.05825	-0.2
1.06575	-0.1
1.07325	-0.1
1.08075	0
1.08825	0
1.09575	0
1.10325	0
1.11075	0
1.11825	0
1.12575	0
1.13325	0
1.14075	0
1.14825	0
1.15575	-0.1
1.16325	-0.1
1.17075	-0.1
1.17825	-0.2
1.18575	-0.2
1.19325	-0.3
1.20075	-0.4
1.20825	-0.4
1.21575	-0.5
1.22325	-0.6
1.23075	-0.7
1.23825	-0.8
1.24575	-0.9
1.25325	-1
1.26075	-1.1
1.26825	-1.2
1.27575	-1.3
1.28325	-1.5
1.29075	-1.6
1.29825	-1.7
1.30575	-1.9
1.31325	-2
1.32075	-2.1
1.32825	-2.3
1.33575	-2.4
1.34325	-2.6
1.35075	-2.8
1.35825	-2.9
1.36575	-3.1
1.37325	-3.3
1.38075	-3.4
1.38825	-3.6
1.39575	-3.8
1.40325	-4
1.41075	-4.2
