,npoly,thetapi,thetaw
0,75,21.358695652173907,20.0841310265496
1,74,19.48550724637682,19.81634261286227
2,83,23.438405797101446,22.226438336048226
3,55,14.851449275362322,14.72836275280304
4,57,14.44927536231885,15.263939580177697
5,72,16.072463768115952,19.280765785487617
6,76,20.561594202898558,20.35191944023693
7,72,20.931159420289866,19.280765785487617
8,63,17.768115942028984,16.870670062301663
9,71,20.67028985507246,19.01297737180029
10,63,17.11594202898551,16.870670062301663
11,93,18.82246376811595,24.904322472921503
12,87,22.561594202898547,23.297591990797535
13,59,18.347826086956523,15.799516407552353
14,85,18.442028985507246,22.76201516342288
15,74,19.496376811594207,19.81634261286227
16,82,21.065217391304344,21.958649922360898
17,85,22.213768115942045,22.76201516342288
18,78,21.934782608695656,20.887496267611585
19,65,16.02536231884058,17.40624688967632
20,73,20.021739130434792,19.548554199174944
21,75,20.91666666666667,20.0841310265496
22,74,20.724637681159418,19.81634261286227
23,81,21.927536231884062,21.690861508673567
0,67,17.86956521739131,17.941823717050976
1,74,19.70289855072464,19.81634261286227
2,62,17.57971014492754,16.602881648614336
3,78,20.54347826086957,20.887496267611585
4,80,19.673913043478265,21.42307309498624
5,53,14.623188405797109,14.192785925428385
6,77,21.434782608695656,20.619707853924258
7,69,17.07246376811595,18.47740054442563
8,80,24.967391304347814,21.42307309498624
9,65,19.144927536231886,17.40624688967632
10,70,17.14492753623189,18.745188958112962
11,68,21.605072463768124,18.209612130738304
12,90,26.047101449275367,24.10095723185952
13,86,23.847826086956523,23.029803577110208
14,76,17.666666666666675,20.35191944023693
15,58,18.141304347826097,15.531727993865024
16,75,19.054347826086957,20.0841310265496
17,62,16.710144927536234,16.602881648614336
18,57,15.079710144927535,15.263939580177697
19,65,18.713768115942027,17.40624688967632
20,73,20.21376811594204,19.548554199174944
21,79,20.724637681159418,21.155284681298912
22,55,18.62318840579711,14.72836275280304
23,60,15.496376811594212,16.06730482123968
0,80,21.521739130434785,21.42307309498624
1,93,22.865942028985515,24.904322472921503
2,82,24.471014492753625,21.958649922360898
3,58,12.543478260869568,15.531727993865024
4,78,20.652173913043487,20.887496267611585
5,74,20.72101449275363,19.81634261286227
6,69,17.71739130434783,18.47740054442563
7,55,14.192028985507248,14.72836275280304
